模型名,源,大小,厂牌,种类,备注
Hunyuan-7B-Instruct-MNN,Hunyuan-7B-Instruct,7B,腾讯混元,,instruct
Hunyuan-4B-Instruct-MNN,Hunyuan-4B-Instruct,4B,腾讯混元,,instruct
Hunyuan-0.5B-Instruct-MNN,Hunyuan-0.5B-Instruct,0.5B,腾讯混元,,instruct
Hunyuan-1.8B-Instruct-MNN,Hunyuan-1.8B-Instruct,1.8B,腾讯混元,,instruct
Qwen3-Coder-30B-A3B-Instruct-MNN,Qwen3-Coder-30B-A3B-Instruct,30.5B+3.3B Active,Qwen,,coding
Qwen3-30B-A3B-Thinking-2507-MNN,Qwen3-30B-A3B-Thinking-2507,30.5B+3.3B Active,Qwen,,thinking
Qwen3-30B-A3B-Instruct-2507-MNN,Qwen3-30B-A3B-Instruct-2507,30.5B+3.3B Active,Qwen,,instruct
gemma-3-4b-it-q4_0-mnn,gemma-3-4b-it-q4_0,4B,Google,多模态模型,
Qwen3-4B-MNN,Qwen3-4B,4B,Qwen,,
Qwen3-1.7B-MNN,Qwen3-1.7B,1.7B,Qwen,,
Qwen3-0.6B-MNN,Qwen3-0.6B,0.6B,Qwen,,
SmolLM3-3B-MNN,SmolLM3-3B,3B,HuggingFaceTB,,
Qwen3-Reranker-8B-MNN,Qwen3-Reranker-8B,8B,Qwen,,text embedding + ranking tasks
Qwen3-Reranker-4B-MNN,Qwen3-Reranker-4B,4B,Qwen,,text embedding + ranking tasks
Qwen3-Reranker-0.6B-MNN,Qwen3-Reranker-0.6B,0.6B,Qwen,,text embedding + ranking tasks
gemma-3-1b-it-qat-q4_0-gguf-MNN,gemma-3-1b-it-qat-q4_0-gguf,1B,Google,多模态模型,
ERNIE-4.5-0.3B-PT-MNN,ERNIE-4.5-0.3B-PT,0.36B,飞桨PaddlePaddle,,
sherpa-mnn-streaming-zipformer-en-2023-02-21,,,Sherpa,多模态模型,
bert-vits2-MNN,,,fishaudio,多模态模型,音频
piper-voices-MNN,,,OHF-Voice,多模态模型,text to speech
DeepSeek-R1-0528-Qwen3-8B-MNN,DeepSeek-R1-0528-Qwen3-8B,8B,DeepSeek,,
FastVLM-1.5B-Stage3-MNN,FastVLM-1.5B-Stage3,1.5B,Apple,多模态模型,视觉理解
FastVLM-1.5B-Stage2-MNN,FastVLM-1.5B-Stage2,1.5B,Apple,多模态模型,视觉理解
FastVLM-0.5B-Stage3-MNN,FastVLM-0.5B-Stage3,0.5B,Apple,多模态模型,视觉理解
FastVLM-0.5B-Stage2-MNN,FastVLM-0.5B-Stage2,0.5B,Apple,多模态模型,视觉理解
SmolVLM2-2.2B-Instruct-MNN,SmolVLM2-2.2B-Instruct,2.2B,HuggingFaceTB,多模态模型,分析视频内容
SmolVLM2-500M-Video-Instruct-MNN,SmolVLM2-500M-Video-Instruct,500M,HuggingFaceTB,多模态模型,分析视频内容
SmolVLM2-256M-Video-Instruct-MNN,SmolVLM2-256M-Video-Instruct,256M,HuggingFaceTB,多模态模型,分析视频内容
SmolVLM-Instruct-MNN,SmolVLM-Instruct,,HuggingFaceTB,多模态模型,
SmolVLM-500M-Instruct-MNN,SmolVLM-500M-Instruct,500M,HuggingFaceTB,多模态模型,
SmolVLM-256M-Instruct-MNN,SmolVLM-256M-Instruct,256M,HuggingFaceTB,多模态模型,
Qwen3-30B-A3B-MNN,Qwen3-30B-A3B,30B + 3B Active,Qwen,,
Qwen2.5-VL-3B-Instruct-MNN,Qwen2.5-VL-3B-Instruct,3B,Qwen,多模态模型,
Qwen2.5-VL-7B-Instruct-MNN,Qwen2.5-VL-7B-Instruct,7B,Qwen,多模态模型,
Qwen2-VL-2B-Instruct-MNN,Qwen2-VL-2B-Instruct,2B,Qwen,多模态模型,
Qwen2.5-Omni-7B-MNN,Qwen2.5-Omni-7B,7B,Qwen,多模态模型,
deepseek-vl-7b-chat-MNN,deepseek-vl-7b-chat,7B,DeepSeek,多模态模型,
DeepSeek-Prover-V2-7B-MNN,DeepSeek-Prover-V2-7B,7B,DeepSeek,,
MiMo-7B-Base-MNN,MiMo-7B-Base,7B,XiaomiMiMo,,
MiMo-7B-RL-Zero-MNN,MiMo-7B-RL-Zero,7B,XiaomiMiMo,,
MiMo-7B-SFT-MNN,MiMo-7B-SFT,7B,XiaomiMiMo,,
MiMo-7B-RL-MNN,MiMo-7B-RL,7B,XiaomiMiMo,,
Qwen3-32B-MNN,Qwen3-32B,32B,Qwen,,
Qwen3-14B-MNN,Qwen3-14B,14B,Qwen,,
Qwen3-8B-MNN,Qwen3-8B,8B,Qwen,,
InternVL2_5-1B-MNN,InternVL2_5-1B,1B,OpenGVLab,多模态模型,
sherpa-mnn-streaming-zipformer-bilingual-zh-en-2023-02-20,,,Sherpa,多模态模型,speech to text等
TaoAvatar-NNR-MNN,,,阿里巴巴,多模态模型,数字人
UniTalker-MNN,,,X-niper,多模态模型,audio to facial motion
stable-diffusion-v1-5-mnn-gpu,stable-diffusion-v1-5,,stability AI,多模态模型,绘图
QwQ-32B-MNN,QwQ-32B,32B,通义千问,,
DeepSeek-R1-7B-Qwen-MNN,DeepSeek-R1-7B-Qwen,7B,DeepSeek,,
DeepSeek-R1-1.5B-Qwen-MNN,DeepSeek-R1-1.5B-Qwen,1.5B,DeepSeek,,
gemma-7b-it-MNN,gemma-7b-it,7B,Google,,
gemma-2-9b-it-MNN,gemma-2-9b-it,9B,Google,,
stable-diffusion-v1-5-mnn-opencl,stable-diffusion-v1-5,,stability AI,多模态模型,
stable-diffusion-v1-5-mnn,stable-diffusion-v1-5-mnn（包含opencl和general）,,stability AI,多模态模型,
Qwen2-Audio-7B-Instruct-MNN,Qwen2-Audio-7B-Instruct,7B,Qwen,多模态模型,
Qwen2-1.5B-Instruct-MNN,Qwen2-1.5B-Instruct,1.5B,Qwen,,instruct
Qwen1.5-0.5B-Chat-MNN,Qwen1.5-0.5B-Chat,0.5B,Qwen,,instruct
Meta-Llama-3-8B-Instruct-MNN,Meta-Llama-3-8B-Instruct,8B,Meta,,instruct
Meta-Llama-3.1-8B-Instruct-MNN,Meta-Llama-3.1-8B-Instruct,8B,Meta,,instruct
TinyLlama-1.1B-Chat-v1.0-MNN,TinyLlama-1.1B-Chat-v1.0,1.1B,StatNLP,,
Llama-2-7b-chat-ms-MNN,Llama-2-7b-chat,7B,Meta,,chat
codegeex2-6b-MNN,codegeex2-6b,6B,智谱AI,,coding
Yi-6B-Chat-MNN,Yi-6B-Chat,6B,01AI,,chat
phi-2-MNN,phi-2,2.7B,unknown,,chat
Llama-3.2-3B-Instruct-MNN,Llama-3.2-3B-Instruct,3B,Meta,,
Llama-3.2-1B-Instruct-MNN,Llama-3.2-1B-Instruct,1B,Meta,,
internlm-chat-7b-MNN,internlm-chat-7b,7B,InternLM,,chat
glm-4-9b-chat-MNN,glm-4-9b-chat,9B,智谱AI,,
gemma-2-2b-it-MNN,gemma-2-2b-it,2B,Google,,chat
deepseek-llm-7b-chat-MNN,deepseek-llm-7b-chat,7B,DeepSeek,,chat
chatglm3-6b-MNN,chatglm3-6b,6B,智谱AI,,
chatglm2-6b-MNN,chatglm2-6b,6B,智谱AI,,
OpenELM-3B-Instruct-MNN,OpenELM-3B-Instruct,3B,Apple,,instruct
OpenELM-270M-Instruct-MNN,OpenELM-270M-Instruct,270M,Apple,,instruct
OpenELM-1_1B-Instruct-MNN,OpenELM-1_1B-Instruct,1.1B,Apple,,instruct
OpenELM-450M-Instruct-MNN,OpenELM-450M-Instruct,450M,Apple,,instruct
reader-lm-1.5b-MNN,reader-lm-1.5b,1.5B,jinaai,,html to json/markdown
Qwen2.5-Math-1.5B-Instruct-MNN,Qwen2.5-Math-1.5B-Instruct,1.5B,Qwen,,math
Qwen2.5-Coder-7B-Instruct-MNN,Qwen2.5-Coder-7B-Instruct,7B,Qwen,,coding
Qwen2.5-Coder-1.5B-Instruct-MNN,Qwen2.5-Coder-1.5B-Instruct,1.5B,Qwen,,coding
Qwen2.5-7B-Instruct-MNN,Qwen2.5-7B-Instruct,7B,Qwen,,instruct
reader-lm-0.5b-MNN,reader-lm-0.5b,0.5B,jinnai,,html to json/markdown
Qwen2.5-Math-7B-Instruct-MNN,Qwen2.5-Math-7B-Instruct,7B,Qwen,,math
Qwen2.5-3B-Instruct-MNN,Qwen2.5-3B-Instruct,3B,Qwen,,instruct
Qwen2.5-0.5B-Instruct-MNN,Qwen2.5-0.5B-Instruct,0.5B,Qwen,,instruct
Qwen2-VL-7B-Instruct-MNN,Qwen2-VL-7B-Instruct,7B,Qwen,多模态模型,
Qwen2-7B-Instruct-MNN,Qwen2-7B-Instruct,7B,Qwen,,instruct
Qwen1.5-7B-Chat-MNN,Qwen1.5-7B-Chat,7B,Qwen,,chat
Qwen1.5-4B-Chat-MNN,Qwen1.5-4B-Chat,4B,Qwen,,chat
Qwen1.5-1.8B-Chat-MNN,Qwen1.5-1.8B-Chat,1.8B,Qwen,,chat
Qwen2.5-1.5B-Instruct-MNN,Qwen2.5-1.5B-Instruct,1.5B,Qwen,,instruct
Qwen-1_8B-Chat-MNN,Qwen-1_8B-Chat,1.8B,Qwen,,chat
Qwen2-0.5B-Instruct-MNN,Qwen2-0.5B-Instruct,0.5B,Qwen,,instruct
Qwen-VL-Chat-MNN,Qwen-VL-Chat,,Qwen,多模态模型,
Qwen-7B-Chat-MNN,Qwen-7B-Chat,7B,Qwen,,chat
QwQ-32B-Preview-MNN,QwQ-32B-Preview,32B,Qwen,,
SmolLM2-360M-Instruct-MNN,SmolLM2-360M-Instruct,360M,HuggingFaceTB,,
SmolLM2-135M-Instruct-MNN,SmolLM2-135M-Instruct,135M,HuggingFaceTB,,
SmolLM2-1.7B-Instruct-MNN,SmolLM2-1.7B-Instruct,1.7B,HuggingFaceTB,,
MobileLLM-1B-MNN,MobileLLM-1B,1B,FaceBook,,
MobileLLM-600M-MNN,MobileLLM-600M,600M,FaceBook,,
MobileLLM-350M-MNN,MobileLLM-350M,350M,FaceBook,,
MobileLLM-125M-MNN,MobileLLM-125M,125M,FaceBook,,
gte_sentence-embedding_multilingual-base-MNN,gte_sentence-embedding_multilingual-base,,通义实验室,,
bge-large-zh-MNN,bge-large-zh,,BAAI,,embedding
TinyLlama-1.1B-Chat-MNN,TinyLlama-1.1B-Chat-v1.0,1.1B,StatNLP,,
chatglm-6b-MNN,chatglm-6b,6B,智谱AI,,
Baichuan2-7B-Chat-MNN,Baichuan2-7B-Chat,7B,百川,,
